"We can't find products matching the selection." - "Nous ne pouvons pas trouver de produits correspondant à la sélection."
"New" - "Nouveau"
"Sale" - "En solde"
"Add to Wish List" - "Ajouter à la liste de souhaits"
"Add to Compare" - "Ajouter pour comparer"
"Add to Cart" - "Ajouter au panier"
"In stock" - "En stock"
"Out of stock" - "En rupture de stock"
"Learn More" - "En savoir plus"
"Related Products" - "Produits connexes"
"We found other products you might like!" - "Nous avons trouvé d'autres produits qui pourraient vous plaire !"
"More Choices:" - "Plus de choix :"
"New Products" - "Nouveaux produits"
"Check items to add to the cart or" - "Cochez les articles à ajouter au panier ou"
"select all" - "sélectionner tout"
"Qty" - "Quantité"
"Email" - "E-mail"
"Now Shopping by" - "Maintenant, faire vos achats par"
"Previous" - "Précédent"
"Remove" - "Supprimer"
"Remove This Item" - "Supprimer cet article"
"Shop By" - "Acheter par"
"Clear All" - "Effacer tout"
"Shopping Options" - "Options d'achat"
"Sign Up for Our Newsletter:" - "Inscrivez-vous à notre newsletter :"
"Enter your email address" - "Saisissez votre adresse e-mail"
"Subscribe" - "S'abonner"
"<i class=""fa fa-long-arrow-right"" aria-hidden=""true""></i>" - "<i class=""fa fa-long-arrow-right"" aria-hidden=""true""></i>"
"Recently Ordered" - "Commandes récentes"
"Last Ordered Items" - "Derniers articles commandés"
"View All" - "Voir tout"
"Home" - "Accueil"
"Search" - "Rechercher"
"Search entire store here..." - "Rechercher tout le magasin ici..."
"Welcome to %store_name" - "Bienvenue chez %store_name"
"%name," - "%name,"
"Welcome to %store_name." - "Bienvenue chez %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:" - "Pour vous connecter à notre site, utilisez ces informations lors du paiement ou sur la page <a href=""%customer_url"">Mon compte</a> :"
"Email:" - "E-mail :"
"Password:" - "Mot de passe :"
"Password you set when creating account" - "Mot de passe que vous avez défini lors de la création du compte"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it." - "Vous avez oublié le mot de passe de votre compte ? Cliquez <a href=""%reset_url"">ici</a> pour le réinitialiser."
"When you sign in to your account, you will be able to:" - "Lorsque vous vous connectez à votre compte, vous pourrez :"
"Quick Checkout" - "Paiement rapide"
"Proceed through checkout faster" - "Procédez plus rapidement au paiement"
"Order Status" - "État de la commande"
"Check the status of orders" - "Vérifiez l'état des commandes"
"Manage Addresses" - "Gérer les adresses"
"Store alternative addresses" - "Enregistrez des adresses alternatives"
"For shipping to multiple family members and friends" - "Pour expédier à plusieurs membres de la famille et amis"
"Order History" - "Historique des commandes"
"View past orders" - "Affichez les commandes précédentes"
"Footer" - "Pied de page"
"<a href=%url_about_us>About Us</a>" - "<a href=%url_about_us>À propos de nous</a>"
"<a href=url_customer_service>Customer Service</a>" - "<a href=url_customer_service>Service client</a>"
"<a href=""tel:%store_phone"">%store_phone</a>" - "<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>." - "Heures d'ouverture :<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order" - "Note de crédit pour votre commande %store_name"
"Thank you for your order from %store_name." - "Merci pour votre commande chez %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>." - "Vous pouvez vérifier l'état de votre commande en <a href=""%account_url"">vous connectant à votre compte</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>." - "Si vous avez des questions concernant votre commande, vous pouvez nous envoyer un e-mail à l'adresse <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id" - "Votre note de crédit #%creditmemo_id pour la commande #%order_id"
"Billing Info" - "Informations de facturation"
"Shipping Info" - "Informations d'expédition"
"Payment Method" - "Méthode de paiement"
"Shipping Method" - "Méthode d'expédition"
"Update to your %store_name credit memo" - "Mise à jour de votre note de crédit %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>." - "Votre commande #%increment_id a été mise à jour avec un statut de <strong>%order_status</strong>."
"Invoice for your %store_name order" - "Facture pour votre commande %store_name"
